"Time (s) Run #1","Magnetic Field Strength (Axial) (G) Run #1","Magnetic Field Strength (Perpendicular) (T) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
19.900,2.55819E+1,1.86905E-4,-4.375,0.000,0.000,-5.49341E-2,0.000,0.000
20.000,2.56555E+1,1.83317E-4,-4.375,0.000,0.000,-5.49341E-2,0.000,0.000
20.100,2.55877E+1,1.88102E-4,-4.375,0.000,-0.004,-5.49341E-2,0.000,-5.479E-5
20.200,2.56162E+1,1.86537E-4,-4.375,0.000,-0.013,-5.49341E-2,0.000,-1.644E-4
20.300,2.56597E+1,1.88470E-4,-4.375,-0.003,-0.017,-5.49341E-2,-3.287E-5,-2.192E-4
20.400,2.56672E+1,1.87089E-4,-4.375,-0.005,-0.017,-5.49341E-2,-6.575E-5,-2.192E-4
20.500,2.55584E+1,1.92978E-4,-4.376,-0.005,-0.397,-5.49538E-2,-6.575E-5,-0.005
20.600,2.56195E+1,1.88654E-4,-4.376,-0.008,-1.374,-5.49538E-2,-9.863E-5,-0.017
20.700,2.56229E+1,1.87642E-4,-4.376,-0.238,-2.212,-5.49538E-2,-0.003,-0.028
20.800,2.55769E+1,1.78992E-4,-4.379,-0.597,-1.715,-5.49933E-2,-0.007,-0.022
20.900,2.54228E+1,1.72919E-4,-4.516,-0.744,0.218,-5.67094E-2,-0.009,0.003
21.000,2.51902E+1,1.78716E-4,-4.595,-0.531,1.911,-5.76956E-2,-0.007,0.024
21.100,2.51701E+1,1.81016E-4,-4.607,-0.173,2.090,-5.78534E-2,-0.002,0.026
21.200,2.51257E+1,1.78900E-4,-4.607,-0.021,1.178,-5.78534E-2,-2.630E-4,0.015
21.300,2.51165E+1,1.78716E-4,-4.607,0.000,0.663,-5.78534E-2,0.000,0.008
21.400,2.52111E+1,1.85893E-4,-4.607,0.003,1.497,-5.78534E-2,3.287E-5,0.019
21.500,2.51977E+1,1.78532E-4,-4.607,0.202,3.512,-5.78534E-2,0.003,0.044
