Frequency (Hz)	Level (dB)
4107.458496	-51.470390
4112.841797	-50.998791
4118.225098	-51.016632
4123.608398	-49.805626
4128.991699	-48.031715
4134.375000	-47.056782
4139.758301	-48.573105
4145.141602	-47.772022
4150.524902	-47.915409
4155.908203	-48.757870
4161.291504	-47.846462
4166.674805	-48.277813
4172.058105	-47.782383
4177.441406	-46.547485
4182.824707	-44.973583
4188.208008	-48.881710
4193.591309	-47.661869
4198.974609	-45.915653
4204.357910	-47.483055
4209.741211	-47.095161
4215.124512	-46.328094
4220.507812	-48.917068
4225.891113	-48.361954
4231.274414	-47.087399
4236.657715	-47.476913
4242.041016	-47.099682
4247.424316	-47.657108
4252.807617	-48.506516
4258.190918	-49.021400
4263.574219	-51.342472
4268.957520	-52.210350
4274.340820	-51.780098
4279.724121	-50.686771
4285.107422	-51.519951
4290.490723	-52.473972
4295.874023	-50.385712
4301.257324	-50.855793
4306.640625	-50.359890
4312.023926	-49.515125
4317.407227	-52.429016
4322.790527	-54.294144
4328.173828	-55.228863
4333.557129	-54.463223
4338.940430	-54.839520
4344.323730	-55.532784
4349.707031	-56.442684
4355.090332	-55.382668
4360.473633	-55.217377
4365.856934	-55.016697
4371.240234	-55.752285
4376.623535	-56.556469
4382.006836	-55.878132
4387.390137	-56.665062
4392.773438	-57.040020
4398.156738	-58.250389
4403.540039	-57.494682
4408.923340	-55.889084
4414.306641	-57.491611
4419.689941	-58.399273
4425.073242	-56.933167
4430.456543	-57.977592
4435.839844	-56.972187
4441.223145	-56.321163
4446.606445	-56.264660
4451.989746	-57.948490
4457.373047	-57.360023
4462.756348	-57.084637
4468.139648	-56.842590
4473.522949	-57.855816
4478.906250	-58.034298
4484.289551	-58.421875
4489.672852	-56.437374
4495.056152	-56.141335
4500.439453	-57.077759
4505.822754	-60.127048
4511.206055	-58.737015
4516.589355	-58.771023
4521.972656	-58.478382
4527.355957	-57.462086
4532.739258	-59.640373
4538.122559	-60.070679
4543.505859	-62.868988
4548.889160	-62.762459
4554.272461	-60.904564
4559.655762	-58.973808
4565.039062	-60.351837
4570.422363	-62.060917
4575.805664	-61.236183
4581.188965	-60.392708
4586.572266	-62.618790
4591.955566	-62.772320
4597.338867	-62.846306
4602.722168	-62.858906
4608.105469	-64.012703
4613.488770	-65.013817
