axial, perp, pos
13.8532,0.993073,0.0307316
13.8306,1.03632,0.0326843
14.0633,1.03356,0.0353867
14.2382,0.981111,0.0382862
14.5471,0.939705,0.0407913
14.6877,1.04644,0.0431583
14.9421,1.08417,0.0452492
14.84,0.949826,0.046196
14.9455,0.951666,0.046196
14.9505,1.03356,0.046196
14.9965,1.08325,0.046196
15.0041,0.983872,0.046196
15.0267,0.91118,0.046196
14.9505,1.00964,0.046196
14.9639,0.954427,0.046196
15.0677,0.924982,0.0465707
15.0275,0.945225,0.0470639
15.2443,1.0124,0.0478726
15.3724,1.01976,0.0493914
15.6059,0.949826,0.0516992
15.7306,0.926822,0.053297
15.8938,1.00043,0.0551511
16.1323,1.07221,0.0574787
16.2445,1.08969,0.0594314
16.6429,1.15502,0.0621337
16.8739,1.07037,0.0647572
17.1903,1.00964,0.0665324
17.1752,1.14122,0.0667494
17.0823,1.0446,0.0667494
17.1719,1.09613,0.0667494
17.2204,1.10625,0.0667494
17.1518,1.11453,0.0667494
17.2062,1.09153,0.0667494
17.1292,1.09245,0.0667494
17.1518,1.12465,0.0669269
17.3577,1.07313,0.068643
17.5,1.12557,0.070004
17.7485,1.14214,0.0722132
17.9051,1.21299,0.0739096
17.9477,1.21851,0.0750931
18.0825,1.24519,0.0764935
18.5194,1.24059,0.0786041
18.6851,1.35561,0.0808922
18.9078,1.38966,0.0835946
19.0978,1.33905,0.086573
19.2618,1.39886,0.0885061
19.3681,1.36389,0.0894134
19.3246,1.30684,0.0893937
19.3112,1.35101,0.0893937
19.3129,1.24335,0.0893937
19.3756,1.33353,0.0893937
19.338,1.32525,0.0893937
19.3489,1.41082,0.09038
19.5296,1.43474,0.0918791
19.615,1.45867,0.0934373
19.8259,1.43106,0.0960213
19.8519,1.37954,0.0979149
19.8418,1.45223,0.099414
19.8937,1.50928,0.101248
19.8829,1.51664,0.103418
20.0402,1.58289,0.105233
19.9791,1.59393,0.106969
20.0452,1.54608,0.108172
20.0728,1.59485,0.108704
20.0268,1.63534,0.108704
20.0285,1.50468,0.108054
19.9013,1.5056,0.107186
20.0929,1.53688,0.105134
20.0343,1.49731,0.102037
19.9281,1.49823,0.0997099
19.9347,1.48995,0.0981713
19.8644,1.49087,0.0978952
19.8778,1.41082,0.0978754
19.8284,1.50099,0.0976585
19.8084,1.47799,0.0965539
19.7054,1.46235,0.0949364
19.6761,1.36021,0.0936938
19.4911,1.33537,0.0925892
19.4125,1.38598,0.0912084
19.4326,1.33445,0.0897685
19.3003,1.22955,0.0885455
19.2534,1.2728,0.0874409
19.0852,1.31697,0.0859024
18.9731,1.35929,0.0841469
18.7663,1.26544,0.0828056
18.6793,1.2636,0.0817207
18.5303,1.22495,0.0799257
18.3771,1.17158,0.0785055
18.234,1.20839,0.0770853
18.0273,1.14214,0.0758426
18.0114,1.22127,0.075172
17.9871,1.14766,0.0747972
17.9168,1.1311,0.0739096
17.5853,1.1449,0.0719568
17.51,1.05104,0.0709508
17.4087,1.063,0.0703788
17.3744,1.15318,0.0695701
17.0857,1.17066,0.0669861
16.8454,1.10901,0.0650728
16.6864,1.05564,0.0635934
16.6471,1.0216,0.0630017
16.56,1.0538,0.0622324
16.5768,1.04,0.0622324
16.5081,1.10441,0.0622324
16.4914,0.993993,0.0622324
16.5508,1.05656,0.0622324
16.5391,1.07037,0.0622324
16.6772,1.01148,0.0622324
16.5684,1.04552,0.061759
16.3374,0.989393,0.0606938
16.2244,0.955347,0.0596484
16.1708,1.09429,0.0585241
15.9097,0.926822,0.0566108
15.7674,0.933264,0.0547566
15.4703,0.977431,0.0522121
15.3924,1.02988,0.0503579
15.1229,1.06392,0.0487208
15.071,1.02712,0.0477542
14.8861,1.01884,0.0461762
14.7346,1.00504,0.0438881
14.5462,0.960868,0.0419748
14.5245,1.10809,0.0417578
14.4575,1.01884,0.0404165
14.3973,0.990313,0.0395289
14.4232,0.966389,0.0395092
14.4224,0.84953,0.0395092
14.4324,0.904739,0.0395092
14.3772,0.955347,0.0395092
14.3404,0.904739,0.0395092
14.2081,0.890937,0.0395092
14.2575,0.97651,0.0395092
14.193,1.05472,0.0380495
14.0424,1.01516,0.0354261
13.9152,0.957187,0.0336114
13.7796,0.989393,0.031777
13.7377,0.945225,0.0301793
13.6624,0.993073,0.0284435
13.5536,1.04644,0.0271219
13.4138,1.04276,0.0250705
13.3904,1.07773,0.0248141
13.4808,1.00043,0.0248141
13.4364,1.03356,0.0248141
13.5586,1.00135,0.0248141
13.4916,1.06116,0.0248141
13.4741,1.12925,0.0248141
13.485,1.0216,0.0222498
13.413,1.0538,0.0196658
13.2732,1.0354,0.0179498
13.3125,1.12833,0.0172199
13.3636,1.15778,0.017141
13.2782,1.10441,0.0166282
13.238,1.0584,0.0145965
13.2288,0.97651,0.0129593
13.2966,1.1633,0.0122887
13.1577,1.15134,0.0106515
13.223,1.16238,0.00968498
13.2891,1.06853,0.0097047
13.1485,1.08785,0.0097047
13.2632,1.15778,0.0097047
13.264,1.10165,0.0097047
13.2297,1.13754,0.00968498
13.2397,1.08049,0.00887625
13.1569,1.11085,0.0071799
13.3259,1.02344,0.00550328
13.4473,1.10993,0.00333353
13.449,1.09797,0.00147938
13.3828,1.15502,-5.9175e-05
13.5586,1.18262,-0.00258397
13.6783,1.19827,-0.005523
13.8616,1.20655,-0.00779137
13.9696,1.22771,-0.00980332
14.0265,1.20747,-0.0114602
14.0508,1.24703,-0.0116969
14.0081,1.20839,-0.0116772
14.0072,1.25624,-0.0116772
13.9277,1.25624,-0.0116772
14.0424,1.1771,-0.0116772
14.0056,1.15042,-0.0129001
14.1202,1.25163,-0.0149713
14.3864,1.14674,-0.0171016
14.5529,1.27188,-0.019508
14.8501,1.21023,-0.0227035
15.0108,1.23139,-0.0255636
15.3615,1.1817,-0.0279503
15.3196,1.15042,-0.02797
15.3313,1.26636,-0.02797
15.2928,1.27096,-0.02797
15.256,1.18078,-0.02797
15.3857,1.34089,-0.02797
15.3682,1.24703,-0.0281476
15.641,1.37217,-0.0305343
15.7841,1.33905,-0.0326054
16.026,1.32249,-0.034933
16.3374,1.30224,-0.0373986
16.4412,1.31881,-0.0393119
16.6914,1.35561,-0.0414225
16.9626,1.4375,-0.043612
16.8814,1.43842,-0.0436514
16.9283,1.45959,-0.0436514
16.9492,1.48903,-0.0436514
16.9509,1.39242,-0.04375
17.0898,1.54056,-0.0460381
17.4263,1.45131,-0.0481684
17.6406,1.40254,-0.0505157
17.9653,1.38138,-0.0537309
18.0063,1.45959,-0.0547763
18.2616,1.49547,-0.0568474
18.3671,1.5424,-0.0588594
18.4935,1.61141,-0.061108
18.5839,1.54332,-0.0615223
18.5981,1.51848,-0.0615223
18.6968,1.49363,-0.0615223
18.6433,1.54516,-0.0615223
18.8241,1.58749,-0.0629227
18.9998,1.60589,-0.0657434
19.0601,1.63074,-0.0676765
19.261,1.65282,-0.0705563
19.3966,1.66938,-0.0731995
19.4543,1.65006,-0.075744
19.4183,1.6841,-0.0782885
19.4535,1.60221,-0.0811092
