axial, perp, fakepos, pos
23.3722,1.97211,0.03,0.0109868
23.8234,1.96015,0.03,0.014774
24.2862,1.98499,0.03,0.0178117
24.2134,1.85985,0.03,0.0178511
24.2477,1.82581,0.03,0.0178511
24.308,1.94359,0.03,0.0178511
24.2762,1.96659,0.03,0.0178511
24.231,1.94635,0.03,0.0178511
24.4771,1.94451,0.03,0.0192121
24.9173,1.81661,0.03,0.0217764
25.6329,1.86077,0.03,0.0249127
26.3661,1.86261,0.03,0.0282659
27.1069,1.98683,0.03,0.0309485
27.8534,2.10829,0.03,0.0338086
28.3791,2.11197,0.03,0.0356628
28.41,2.09357,0.03,0.0358009
28.4569,1.96291,0.03,0.0357811
28.5013,2.05124,0.03,0.0357811
28.5004,2.02548,0.03,0.0357811
28.4025,2.07609,0.03,0.0358009
29.2713,2.22423,0.03,0.0389766
30.2757,2.38342,0.03,0.0433358
30.6883,2.52328,0.03,0.0457225
31.0742,2.6797,0.03,0.047557
30.9695,2.59505,0.03,0.0477542
31.0968,2.64566,0.03,0.0477542
31.1453,2.55732,0.03,0.0478923
31.157,2.59045,0.03,0.0478726
31.157,2.6383,0.03,0.0478726
31.1989,2.60609,0.03,0.0478726
31.1637,2.56377,0.03,0.0478726
31.1219,2.561,0.03,0.0478726
31.1085,2.57849,0.03,0.0478923
31.0834,2.5472,0.03,0.047912
31.275,2.58493,0.03,0.0492533
31.3253,2.72571,0.03,0.0509694
31.2951,2.83705,0.03,0.0519359
31.3311,2.93182,0.03,0.0519359
31.3562,2.85637,0.03,0.0519162
31.3571,2.94471,0.03,0.0519162
31.3437,2.92262,0.03,0.0519162
31.3763,2.89226,0.03,0.0518965
31.3805,2.92354,0.03,0.0518965
31.3487,2.83705,0.03,0.0518965
31.419,2.85729,0.03,0.0518965
31.4249,2.94655,0.03,0.0518767
31.2139,2.80392,0.03,0.0506932
30.6582,2.45059,0.03,0.0463932
30.3025,2.35857,0.03,0.0434344
29.8036,2.296,0.03,0.0410872
29.237,2.18466,0.03,0.0391147
28.6745,2.13866,0.03,0.037083
28.4293,2.10737,0.03,0.036077
28.2359,2.07977,0.03,0.0352486
28.0619,2.09633,0.03,0.0344596
27.404,2.09081,0.03,0.0319742
27.2743,2.07333,0.03,0.0315994
27.2475,2.03744,0.03,0.0316192
27.2918,2.09173,0.03,0.0316192
27.2182,2.09633,0.03,0.0316192
27.1738,2.03928,0.03,0.0316192
27.332,2.06044,0.03,0.0316192
27.3437,2.07977,0.03,0.0316192
27.3178,1.96751,0.03,0.0315994
26.2347,1.87734,0.03,0.0266485
24.9851,1.91782,0.03,0.0216778
24.5089,2.00708,0.03,0.019291
24.1975,1.91506,0.03,0.0173383
24.0477,1.86905,0.03,0.0157011
23.281,1.93162,0.03,0.01004
