Frequency (Hz)	Level (dB)
1192.401123	-64.468102
1193.746948	-69.074829
1195.092773	-68.353378
1196.438599	-68.186867
1197.784424	-69.669510
1199.130249	-72.990662
1200.476074	-73.124329
1201.821899	-69.697998
1203.167725	-67.412369
1204.513550	-65.444298
1205.859375	-65.480103
1207.205200	-65.463966
1208.551025	-66.120491
1209.896851	-65.336960
1211.242676	-66.650986
1212.588501	-68.135620
1213.934326	-67.039932
1215.280151	-66.808022
1216.625977	-70.140274
1217.971802	-70.934288
1219.317627	-69.414925
1220.663452	-64.507820
1222.009277	-64.085457
1223.355103	-66.594940
1224.700928	-63.338184
1226.046753	-66.207794
1227.392578	-72.243156
1228.738403	-72.136482
1230.084229	-70.329994
1231.430054	-66.712105
1232.775879	-66.472893
1234.121704	-67.086609
1235.467529	-66.617996
1236.813354	-68.194458
1238.159180	-70.066116
1239.505005	-68.681175
1240.850830	-63.426823
1242.196655	-66.555260
1243.542480	-71.367455
1244.888306	-68.774544
1246.234131	-69.207832
1247.579956	-67.468025
1248.925781	-67.249382
1250.271606	-69.039383
1251.617432	-69.469521
1252.963257	-70.821526
1254.309082	-69.284248
1255.654907	-68.101944
1257.000732	-66.380226
1258.346558	-63.871071
1259.692383	-64.832077
1261.038208	-67.504486
1262.384033	-69.994484
1263.729858	-71.390831
1265.075684	-69.595840
1266.421509	-71.099777
1267.767334	-74.490929
1269.113159	-70.584877
1270.458984	-69.976669
1271.804810	-68.215904
1273.150635	-66.516121
1274.496460	-66.689735
1275.842285	-65.703194
1277.188110	-66.465340
1278.533936	-66.829147
1279.879761	-65.837570
1281.225586	-66.327515
1282.571411	-66.200493
1283.917236	-63.157604
1285.263062	-63.297001
1286.608887	-65.405182
1287.954712	-69.107391
1289.300537	-69.531540
1290.646362	-73.403816
1291.992188	-73.269783
1293.338013	-70.584679
1294.683838	-67.878563
1296.029663	-66.152130
1297.375488	-67.304649
1298.721313	-68.850487
1300.067139	-69.699608
1301.412964	-67.173546
1302.758789	-70.293968
1304.104614	-76.661911
1305.450439	-75.143562
1306.796265	-72.120514
1308.142090	-69.433411
1309.487915	-69.343102
1310.833740	-65.863754
1312.179565	-65.625999
1313.525391	-65.606789
1314.871216	-67.524002
1316.217041	-68.364441
1317.562866	-67.788811
1318.908691	-67.804413
1320.254517	-71.951653
1321.600342	-74.657104
1322.946167	-71.754623
1324.291992	-72.770531
